United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
Adair,4423,2460,149,39,0,0,0
Andrew,4885,1657,135,50,0,0,0
Atchison,1468,392,32,18,0,0,0
Audrain,5209,2069,145,44,2,0,0
Barry,8537,2046,247,143,0,0,0
Barton,3654,586,57,29,0,0,0
Bates,4227,1362,125,52,0,0,0
Benton,5717,1773,143,95,0,0,0
Bollinger,3589,507,47,25,0,0,0
Boone,25940,35608,1243,318,0,1,0
Buchanan,14828,8884,574,283,0,0,0
Butler,9345,1872,226,76,0,0,0
Caldwell,2588,745,68,31,0,0,0
Callaway,9917,4622,332,132,0,0,0
Camden,13380,4384,331,193,0,0,0
Cape Girardeau,20511,6650,473,254,0,0,0
Carroll,2610,685,49,15,0,0,0
Carter,1578,298,26,9,0,0,0
Cass,24848,13927,744,279,0,0,1
Cedar,3962,929,149,109,0,0,0
Chariton,2083,667,38,25,0,0,0
Christian,24206,8070,720,304,0,0,0
Clark,1738,535,45,31,0,0,0
Clay,43210,41987,1593,615,0,0,0
Clinton,5147,2219,148,55,0,0,0
Cole,18289,9487,559,197,0,0,0
Cooper,4198,1737,120,73,0,0,0
Crawford,5822,1610,114,57,0,0,0
Dade,2395,501,64,37,0,0,0
Dallas,4449,1097,125,81,0,0,0
Daviess,2029,608,39,33,0,0,0
United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
De Kalb,2575,700,88,31,0,0,0
Dent,4030,822,102,60,0,0,0
Douglas,4101,780,103,48,0,0,0
Dunklin,4906,1167,92,53,0,0,2
Franklin,25089,11139,589,271,0,0,0
Gasconade,4306,1299,84,23,0,0,0
Gentry,1748,528,37,12,0,0,0
Greene,55499,39211,2223,1078,0,0,0
Grundy,2514,641,46,25,0,0,0
Harrison,2237,445,41,13,0,0,0
Henry,5232,2084,128,84,0,0,0
Hickory,2747,796,87,38,0,0,0
Holt,1383,262,20,6,0,0,0
Howard,2529,1212,99,32,0,0,0
Howell,10336,2452,342,168,0,0,0
Iron,2246,747,49,30,0,0,0
Jackson,64471,62895,2188,1041,1,0,0
Jasper,25183,8500,785,231,0,0,0
Jefferson,48881,28670,1226,660,0,0,0
Johnson,10019,5134,376,143,0,0,0
Kansas City,16353,68143,1134,373,1,0,0
Knox,996,317,32,21,0,0,0
Laclede,9018,1948,260,125,0,0,0
Lafayette,8233,3525,213,59,0,0,0
Lawrence,9834,2316,251,160,0,0,0
Lewis,2339,716,72,25,0,0,0
Lincoln,14099,5202,413,159,0,0,0
Linn,2915,1129,68,19,0,0,0
Livingston,3523,1131,52,37,0,0,0
Macon,4264,1174,103,47,0,0,0
Madison,2907,721,63,29,0,0,0
United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
Maries,2737,652,45,20,0,0,0
Marion,6254,2197,187,55,0,0,0
McDonald,5001,887,151,52,0,0,0
Mercer,1028,213,20,3,0,0,0
Miller,6889,1574,184,92,0,0,0
Mississippi,2237,592,42,25,0,0,0
Moniteau,3903,1088,95,42,0,0,0
Monroe,2344,739,56,19,0,0,0
Montgomery,2990,1015,51,29,0,0,0
Morgan,5150,1584,137,80,0,0,0
New Madrid,3347,964,76,25,0,0,0
Newton,15565,3878,388,106,0,0,0
Nodaway,4757,2156,116,32,0,0,0
Oregon,2391,571,61,48,0,0,0
Osage,4587,856,76,14,0,0,0
Ozark,2960,610,73,56,0,0,0
Pemiscot,2457,707,40,13,0,0,0
Perry,5113,1101,85,41,0,0,0
Pettis,9032,3677,283,160,0,0,0
Phelps,9268,4001,259,90,0,0,0
Pike,3738,1299,82,48,0,0,0
Platte,20304,19918,683,215,0,0,0
Polk,7948,2184,303,128,0,0,0
Pulaski,6703,2224,270,116,0,0,0
Putnam,1379,287,29,19,0,0,0
Ralls,2917,935,95,35,0,0,0
Randolph,5242,1954,163,65,0,0,0
Ray,5286,2403,158,92,0,0,0
Reynolds,1817,512,43,24,0,0,0
Ripley,3005,609,82,39,0,0,0
Saline,4030,2079,119,50,0,0,0
United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
Schuyler,1182,304,37,7,0,0,0
Scotland,1010,305,32,13,0,0,0
Scott,9210,2161,156,98,0,0,0
Shannon,2243,586,52,29,0,0,0
Shelby,1753,479,53,13,0,0,0
St. Charles,83559,64552,2158,709,1,0,0
St. Clair,2711,835,101,44,1,0,0
St. Francois,12552,5197,338,151,0,0,0
St. Louis,137197,226772,4098,1548,7,3,0
St. Louis City,12835,69839,1098,324,0,0,0
Ste. Genevieve,4329,2181,86,44,0,0,0
Stoddard,7320,1145,113,54,0,0,0
Stone,10784,2662,234,129,0,0,0
Sullivan,1360,344,30,10,0,0,0
Taney,13734,3542,335,184,0,0,0
Texas,6621,1337,184,115,0,0,0
Vernon,4620,1325,136,75,0,0,0
Warren,9103,3768,233,68,0,0,0
Washington,5267,1498,109,60,0,0,0
Wayne,3374,605,54,30,0,0,0
Webster,10667,3008,325,206,0,0,0
Worth,651,184,22,6,0,0,0
Wright,5210,819,159,55,1,0,0
Total,1146966,872694,34821,14608,14,4,3
United States Senator,"Write-InGina Bufe","Write-InMartin Lindstedt","Write-InRik Combs","Write-InSteve Price",Total
Adair,0,0,0,0,7071
Andrew,0,0,0,0,6727
Atchison,0,0,0,0,1910
Audrain,0,0,0,0,7469
Barry,0,0,0,0,10973
Barton,0,0,0,0,4326
Bates,0,0,0,0,5766
Benton,0,0,0,0,7728
Bollinger,0,0,0,0,4168
Boone,0,0,0,0,63110
Buchanan,0,0,0,1,24570
Butler,0,0,0,0,11519
Caldwell,0,0,0,0,3432
Callaway,0,0,0,0,15003
Camden,1,0,0,0,18289
Cape Girardeau,0,0,0,0,27888
Carroll,0,0,0,0,3359
Carter,0,0,0,0,1911
Cass,0,0,0,0,39799
Cedar,0,0,0,0,5149
Chariton,0,0,0,0,2813
Christian,0,0,0,0,33300
Clark,0,0,0,0,2349
Clay,0,0,0,1,87406
Clinton,0,0,0,0,7569
Cole,0,0,6,0,28532
Cooper,0,0,0,0,6128
Crawford,0,0,0,0,7603
Dade,0,0,0,0,2997
Dallas,0,0,0,0,5752
Daviess,0,0,0,0,2709
United States Senator,"Write-InGina Bufe","Write-InMartin Lindstedt","Write-InRik Combs","Write-InSteve Price",Total
De Kalb,0,0,0,0,3394
Dent,0,0,0,0,5014
Douglas,0,0,0,0,5032
Dunklin,0,0,0,0,6220
Franklin,0,0,0,0,37088
Gasconade,0,0,0,0,5712
Gentry,0,0,0,0,2325
Greene,0,0,0,0,98011
Grundy,0,0,0,0,3226
Harrison,0,0,0,0,2736
Henry,0,0,0,0,7528
Hickory,0,0,0,0,3668
Holt,0,0,0,0,1671
Howard,0,0,0,0,3872
Howell,0,0,0,0,13298
Iron,0,0,0,0,3072
Jackson,1,0,0,0,130597
Jasper,0,0,0,0,34699
Jefferson,0,0,0,1,79438
Johnson,0,0,0,0,15672
Kansas City,0,0,0,0,86004
Knox,0,0,0,0,1366
Laclede,0,0,0,0,11351
Lafayette,0,0,0,0,12030
Lawrence,0,0,0,0,12561
Lewis,0,0,0,0,3152
Lincoln,0,0,0,0,19873
Linn,0,0,0,0,4131
Livingston,0,0,0,0,4743
Macon,0,0,0,0,5588
Madison,0,0,0,0,3720
United States Senator,"Write-InGina Bufe","Write-InMartin Lindstedt","Write-InRik Combs","Write-InSteve Price",Total
Maries,0,0,0,0,3454
Marion,0,0,0,0,8693
McDonald,0,0,0,0,6091
Mercer,0,0,0,0,1264
Miller,0,0,0,0,8739
Mississippi,0,0,0,0,2896
Moniteau,0,0,0,0,5128
Monroe,0,0,0,0,3158
Montgomery,0,0,0,0,4085
Morgan,0,0,0,0,6951
New Madrid,0,0,0,0,4412
Newton,0,0,0,0,19937
Nodaway,0,0,0,0,7061
Oregon,0,0,0,0,3071
Osage,0,0,0,0,5533
Ozark,0,0,0,0,3699
Pemiscot,0,0,0,0,3217
Perry,0,0,0,0,6340
Pettis,0,0,0,0,13152
Phelps,0,0,0,0,13618
Pike,0,0,0,0,5167
Platte,0,0,0,0,41120
Polk,0,0,0,0,10563
Pulaski,0,0,0,0,9313
Putnam,0,0,0,0,1714
Ralls,0,0,0,0,3982
Randolph,0,0,0,0,7424
Ray,0,0,0,0,7939
Reynolds,0,0,0,0,2396
Ripley,0,0,0,0,3735
Saline,0,0,0,0,6278
United States Senator,"Write-InGina Bufe","Write-InMartin Lindstedt","Write-InRik Combs","Write-InSteve Price",Total
Schuyler,0,0,0,0,1530
Scotland,0,0,0,0,1360
Scott,0,0,0,0,11625
Shannon,0,0,0,0,2910
Shelby,0,0,0,0,2298
St. Charles,0,0,0,0,150979
St. Clair,0,0,0,0,3692
St. Francois,0,0,0,0,18238
St. Louis,3,0,0,0,369628
St. Louis City,0,0,0,0,84096
Ste. Genevieve,0,0,0,0,6640
Stoddard,0,0,0,5,8637
Stone,0,0,0,0,13809
Sullivan,0,0,0,0,1744
Taney,0,0,0,0,17795
Texas,0,0,0,0,8257
Vernon,0,0,0,0,6156
Warren,0,0,0,0,13172
Washington,0,0,0,0,6934
Wayne,0,0,0,1,4064
Webster,0,0,0,0,14206
Worth,0,0,0,0,863
Wright,0,0,0,0,6244
Total,5,0,6,9,2069130
Auditor,"RepublicanScott Fitzpatrick","DemocraticAlan Green","LibertarianJohn A. Hartwig Jr.","Write-InArnie C. Dienoff",Total
Adair,4611,2151,263,0,7025
Andrew,5076,1405,182,0,6663
Atchison,1513,348,38,0,1899
Audrain,5566,1655,207,0,7428
Barry,9200,1529,225,0,10954
Barton,3739,494,68,0,4301
Bates,4453,1076,171,0,5700
Benton,6005,1453,221,0,7679
Bollinger,3617,463,64,0,4144
Boone,28351,32189,2063,0,62603
Buchanan,15765,7777,770,0,24312
Butler,9513,1733,231,0,11477
Caldwell,2701,586,121,0,3408
Callaway,10789,3660,490,0,14939
Camden,13971,3725,485,0,18181
Cape Girardeau,21018,6132,625,0,27775
Carroll,2753,513,80,0,3346
Carter,1592,262,26,0,1880
Cass,26291,11787,1406,0,39484
Cedar,4198,750,145,0,5093
Chariton,2142,567,73,0,2782
Christian,25265,6911,953,0,33129
Clark,1828,428,79,0,2335
Clay,45777,37428,3397,0,86602
Clinton,5408,1861,234,0,7503
Cole,19744,7801,850,0,28395
Cooper,4526,1398,171,1,6096
Crawford,6066,1327,183,0,7576
Dade,2521,418,57,0,2996
Dallas,4642,894,162,0,5698
Daviess,2122,496,67,0,2685
Auditor,"RepublicanScott Fitzpatrick","DemocraticAlan Green","LibertarianJohn A. Hartwig Jr.","Write-InArnie C. Dienoff",Total
De Kalb,2698,556,103,0,3357
Dent,4179,653,142,0,4974
Douglas,4226,639,122,0,4987
Dunklin,4986,1086,100,0,6172
Franklin,26429,9297,1054,0,36780
Gasconade,4547,1007,124,0,5678
Gentry,1821,425,62,0,2308
Greene,59696,34975,2924,0,97595
Grundy,2632,484,88,0,3204
Harrison,2342,335,44,0,2721
Henry,5603,1621,216,0,7440
Hickory,2882,669,87,0,3638
Holt,1419,215,29,0,1663
Howard,2741,929,149,0,3819
Howell,10766,2044,370,0,13180
Iron,2345,602,89,0,3036
Jackson,68301,56328,4807,0,129436
Jasper,25962,7673,1006,0,34641
Jefferson,51777,23956,2737,0,78470
Johnson,10793,4243,590,0,15626
Kansas City,17786,65350,2301,1,85438
Knox,1058,230,46,0,1334
Laclede,9403,1653,286,0,11342
Lafayette,8729,2851,405,0,11985
Lawrence,10330,1889,305,0,12524
Lewis,2476,574,88,0,3138
Lincoln,14856,4227,680,0,19763
Linn,3063,893,127,0,4083
Livingston,3738,863,112,0,4713
Macon,4434,1022,117,0,5573
Madison,2952,672,68,0,3692
Auditor,"RepublicanScott Fitzpatrick","DemocraticAlan Green","LibertarianJohn A. Hartwig Jr.","Write-InArnie C. Dienoff",Total
Maries,2859,513,72,0,3444
Marion,6570,1886,194,0,8650
McDonald,5114,831,141,0,6086
Mercer,1072,150,37,1,1260
Miller,7142,1248,271,0,8661
Mississippi,2257,541,54,0,2852
Moniteau,4127,793,164,0,5084
Monroe,2487,566,81,0,3134
Montgomery,3210,759,89,0,4058
Morgan,5365,1270,211,0,6846
New Madrid,3375,917,74,0,4366
Newton,15917,3569,435,0,19921
Nodaway,5032,1807,165,0,7004
Oregon,2500,496,55,0,3051
Osage,4776,636,96,0,5508
Ozark,3087,496,92,0,3675
Pemiscot,2490,678,31,0,3199
Perry,5214,984,97,0,6295
Pettis,9757,2812,469,0,13038
Phelps,9627,3509,426,0,13562
Pike,3939,1068,134,0,5141
Platte,21843,17909,1172,0,40924
Polk,8382,1835,318,0,10535
Pulaski,7054,1845,385,0,9284
Putnam,1410,217,73,0,1700
Ralls,3076,780,110,0,3966
Randolph,5579,1573,237,0,7389
Ray,5490,1999,332,0,7821
Reynolds,1885,420,41,0,2346
Ripley,3077,561,74,0,3712
Saline,4297,1661,285,0,6243
Auditor,"RepublicanScott Fitzpatrick","DemocraticAlan Green","LibertarianJohn A. Hartwig Jr.","Write-InArnie C. Dienoff",Total
Schuyler,1215,238,57,0,1510
Scotland,1105,222,32,0,1359
Scott,9392,2006,178,0,11576
Shannon,2318,513,50,0,2881
Shelby,1809,405,71,0,2285
St. Charles,90102,54456,4691,3,149252
St. Clair,2877,693,115,0,3685
St. Francois,13195,4368,528,0,18091
St. Louis,152902,202506,10680,1,366089
St. Louis City,14662,66095,2439,0,83196
Ste. Genevieve,4490,1823,177,0,6490
Stoddard,7436,1056,129,0,8621
Stone,11255,2220,274,0,13749
Sullivan,1402,299,32,0,1733
Taney,14224,3091,395,0,17710
Texas,6879,1128,202,0,8209
Vernon,4826,1151,131,0,6108
Warren,9553,3132,404,0,13089
Washington,5446,1198,192,0,6836
Wayne,3439,560,52,0,4051
Webster,11235,2493,415,0,14143
Worth,673,160,26,0,859
Wright,5375,685,159,0,6219
Total,1219553,772005,61329,7,2052894
U.S. Representative,Republican,Democratic,Libertarian,,
District 1,Andrew Jones,Cori Bush,George A. Zsidisin,Total,
St. Louis,36594,97259,3778,,137631
St. Louis City,17173,63740,2414,,83327
Total,53767,160999,6192,,220958
U.S. Representative,Republican,Democratic,Libertarian,,
District 2,Ann Wagner,Trish Gunby,Bill Slantz,Total,
Franklin,26096,9662,1042,,36800
St. Charles,24506,13754,903,,39163
St. Louis,116016,110249,4292,,230557
Warren,6659,2230,257,,9146
Total,173277,135895,6494,,315666
"U.S. RepresentativeDistrict 3","RepublicanBlaine Luetkemeyer","DemocraticBethany Mann","Write-InThomas Clapp",Total
Boone,16795,20426,0,37221
Callaway,10940,4022,0,14962
Camden,3748,1145,0,4893
Cole,20116,8302,0,28418
Cooper,4628,1487,0,6115
Crawford,6167,1412,0,7579
Gasconade,4674,1024,0,5698
Jefferson,16531,8172,0,24703
Maries,2881,558,0,3439
Miller,7391,1318,0,8709
Moniteau,4264,850,0,5114
Montgomery,3268,794,0,4062
Osage,4832,684,0,5516
St. Charles,66117,44243,0,110360
Warren,2978,1019,0,3997
Washington,5416,1395,0,6811
Total,180746,96851,0,277597
"U.S. RepresentativeDistrict 4","RepublicanMark Alford","DemocraticJack Truman","LibertarianRandy Langkraehr","Write-InDarrell McClanahan","Write-InDavid A. Haave","Write-InWyatt Parsons",Total
Barton,3699,531,66,0,0,0,4296
Bates,4651,988,119,0,0,0,5758
Benton,6022,1514,147,0,0,0,7683
Boone,11690,12938,766,0,0,0,25394
Camden,10309,2675,271,0,0,0,13255
Cass,26975,11764,951,0,0,0,39690
Cedar,4211,776,102,0,0,0,5089
Dade,2509,433,53,0,0,0,2995
Dallas,4669,917,133,0,0,0,5719
Henry,5643,1587,204,0,0,0,7434
Hickory,2907,665,68,0,0,0,3640
Howard,2651,1011,129,0,0,0,3791
Jackson,17012,9496,610,0,1,0,27119
Johnson,10849,4229,525,0,0,1,15604
Laclede,9453,1664,216,0,0,0,11333
Lafayette,8982,2785,262,0,0,0,12029
Morgan,5376,1311,173,0,0,0,6860
Pettis,9794,2935,342,0,0,0,13071
Polk,8400,1889,254,0,0,0,10543
Pulaski,7104,1643,213,0,0,0,8960
Saline,4374,1722,140,0,0,0,6236
St. Clair,2920,665,92,0,0,0,3677
Vernon,4789,1205,112,1,0,0,6107
Webster,6901,1726,169,0,0,0,8796
Total,181890,67069,6117,1,1,1,255079
"U.S. RepresentativeDistrict 5","RepublicanJacob Turk","DemocraticEmanuel Cleaver, II","LibertarianRobin Dominick",Total
Clay,20362,24155,1310,45827
Jackson,47037,48907,2803,98747
Kansas City,16609,67626,1746,85981
Total,84008,140688,5859,230555
"U.S. RepresentativeDistrict 6","RepublicanSam Graves","DemocraticHenry Martin","LibertarianEdward A (Andy) Maidment",Total
Adair,4768,2171,142,7081
Andrew,5182,1405,148,6735
Atchison,1583,302,43,1928
Audrain,5569,1671,164,7404
Buchanan,15955,7946,654,24555
Caldwell,2801,542,79,3422
Carroll,2851,467,54,3372
Chariton,2243,525,45,2813
Clark,1906,392,50,2348
Clay,25535,14887,949,41371
Clinton,5537,1829,188,7554
Daviess,2182,473,57,2712
De Kalb,2744,532,99,3375
Gentry,1852,427,44,2323
Grundy,2711,454,65,3230
Harrison,2368,319,46,2733
Holt,1423,204,44,1671
Jackson,3113,1150,119,4382
Knox,1164,183,16,1363
Lewis,2591,535,57,3183
Lincoln,14681,4469,551,19701
Linn,3241,795,95,4131
Livingston,3892,803,76,4771
Macon,4531,977,81,5589
Marion,6790,1781,131,8702
Mercer,1097,152,17,1266
Monroe,2581,517,56,3154
Nodaway,5204,1737,132,7073
Pike,4020,1075,60,5155
Platte,22310,17827,870,41007
Putnam,1478,214,24,1716
"U.S. RepresentativeDistrict 6","RepublicanSam Graves","DemocraticHenry Martin","LibertarianEdward A (Andy) Maidment",Total
Ralls,3167,761,54,3982
Randolph,5632,1592,160,7384
Ray,5723,1919,241,7883
Schuyler,1272,232,35,1539
Scotland,1123,218,28,1369
Shelby,1882,373,48,2303
Sullivan,1467,249,29,1745
Worth,696,148,23,867
Total,184865,72253,5774,262892
"U.S. RepresentativeDistrict 7","RepublicanEric Burlison","DemocraticKristen Radaker-Sheafer","LibertarianKevin Craig","Write-InRoger A. Rekate",Total
Barry,8813,1792,321,0,10926
Christian,25059,7363,805,1,33228
Greene,58363,36863,2517,0,97743
Jasper,25657,8253,770,0,34680
Lawrence,10252,2036,240,0,12528
McDonald,5081,871,140,0,6092
Newton,15803,3771,352,0,19926
Stone,11132,2362,251,0,13745
Taney,14160,3247,307,0,17714
Webster,4272,927,166,0,5365
Total,178592,67485,5869,1,251947
"U.S. RepresentativeDistrict 8","RepublicanJason Smith","DemocraticRandi McCallian","LibertarianJim Higgins",Total
Bollinger,3644,469,53,4166
Butler,9535,1764,203,11502
Cape Girardeau,20776,6409,599,27784
Carter,1613,266,25,1904
Dent,4191,714,117,5022
Douglas,4269,645,98,5012
Dunklin,5044,1075,97,6216
Howell,10867,2077,321,13265
Iron,2350,633,69,3052
Jefferson,34506,17826,1543,53875
Madison,2972,688,62,3722
Mississippi,2301,539,42,2882
New Madrid,3440,903,56,4399
Oregon,2528,505,50,3083
Ozark,3121,492,76,3689
Pemiscot,2526,665,27,3218
Perry,5213,1023,89,6325
Phelps,9690,3576,337,13603
Reynolds,1934,436,38,2408
Ripley,3139,561,58,3758
Scott,9348,2099,163,11610
Shannon,2355,515,41,2911
St. Francois,13262,4481,442,18185
Ste. Genevieve,4561,1883,119,6563
Stoddard,7499,1061,109,8669
Texas,6945,1152,163,8260
Wayne,3425,576,64,4065
Wright,5418,705,124,6247
Total,186472,53738,5185,245395
"State SenatorDistrict 2","RepublicanNick Schroer","DemocraticMichael Sinclair",Total
St. Charles,42568,24998,67566
Total,42568,24998,67566
"State SenatorDistrict 4","RepublicanMary Theresa McLean","DemocraticKarla May",Total
St. Louis,7735,17501,25236
St. Louis City,10171,33918,44089
Total,17906,51419,69325
"State SenatorDistrict 6","RepublicanMike Bernskoetter",Total
Camden,15127,15127
Cole,23302,23302
Miller,7573,7573
Moniteau,4501,4501
Morgan,5921,5921
Total,56424,56424
"State SenatorDistrict 8","RepublicanMike Cierpiot","DemocraticAntoine D. Jennings",Total
Jackson,38018,30100,68118
Kansas City,0,0,0
Total,38018,30100,68118
"State SenatorDistrict 10","RepublicanTravis Fitzwater","LibertarianCatherine Dreher",Total
Callaway,11191,3326,14517
Lincoln,15140,3838,18978
Montgomery,3298,614,3912
Pike,4120,794,4914
St. Charles,10420,4156,14576
Total,44169,12728,56897
"State SenatorDistrict 12","RepublicanRusty Black","DemocraticMichael J. Baumli",Total
Andrew,5265,1444,6709
Atchison,1591,329,1920
Buchanan,1839,501,2340
Caldwell,2872,539,3411
Carroll,2841,495,3336
Chariton,2266,523,2789
Clinton,5537,1930,7467
Daviess,2226,472,2698
De Kalb,2772,561,3333
Gentry,1907,416,2323
Grundy,2767,438,3205
Harrison,2388,339,2727
Holt,1469,201,1670
Linn,3309,823,4132
Livingston,4006,730,4736
Mercer,1098,161,1259
Nodaway,5151,1915,7066
Sullivan,1471,270,1741
Worth,695,167,862
Total,51470,12254,63724
State Senator,Democratic,,Write-In,,,
District 14,Brian Williams,,John Winkler,,Total,
St. Louis,,41832,,24,,41856
Total,,41832,,24,,41856
State Senator,Republican,Democratic,,,
District 16,Justin Dan Brown,Tara Anura,,Total,
Dent,4246,,701,,4947
Laclede,9524,,1745,,11269
Maries,2858,,567,,3425
Phelps,9801,,3637,,13438
Pulaski,7205,,1979,,9184
Wright,5453,,734,,6187
Total,39087,,9363,,48450
State Senator,Republican,,Democratic,,
District 18,Cindy Olaughlin,,Ayanna Shivers,Total,
Adair,4637,,2388,,7025
Audrain,5160,,2275,,7435
Clark,1884,,439,,2323
Knox,1099,,249,,1348
Lewis,2477,,649,,3126
Macon,4345,,1204,,5549
Marion,6544,,2064,,8608
Monroe,2517,,632,,3149
Putnam,1433,,253,,1686
Ralls,3084,,866,,3950
Randolph,5690,,1696,,7386
Schuyler,1241,,269,,1510
Scotland,1050,,287,,1337
Shelby,1828,,468,,2296
Total,42989,,13739,,56728
State Senator,Republican,,,
District 20,Curtis Trent,,Total,
Barton,,3840,,3840
Dade,,2578,,2578
Greene,,35961,,35961
Webster,,12125,,12125
Total,,54504,,54504
State Senator,Republican,Democratic,,
District 22,Mary Elizabeth Coleman,Benjamin Hagin,Total,
Jefferson,40695,21456,,62151
Total,40695,21456,,62151
State Senator,Republican,Democratic,Libertarian,
District 24,George J Hruza,Tracy McCreery,LaDonna Higgins,Total
St. Louis,36164,43081,1481,80726
Total,36164,43081,1481,80726
State Senator,Republican,,Democratic,,
District 26,Ben Brown,,John Kiehne,Total,
Franklin,,26415,10129,,36544
Gasconade,,4553,1115,,5668
Osage,,4748,729,,5477
St. Louis,,3101,1763,,4864
Warren,,9652,3379,,13031
Total,,48469,17115,,65584
State Senator,Republican,,,
District 28,Sandy Crawford,,Total,
Benton,6683,,,6683
Cedar,4528,,,4528
Dallas,5144,,,5144
Henry,6240,,,6240
Hickory,3218,,,3218
Pettis,11192,,,11192
Polk,9419,,,9419
St. Clair,3219,,,3219
Vernon,5419,,,5419
Total,55062,,,55062
State Senator,Republican,,Democratic,,
District 30,Lincoln Hough,,Raymond Lampert,Total,
Greene,,30483,22464,,52947
Total,,30483,22464,,52947
State Senator,Republican,,,
District 32,Jill Carter,,Total,
Jasper,,29378,,29378
Newton,,17385,,17385
Total,,46763,,46763
State Senator,Republican,Democratic,,
District 34,Tony Luetkemeyer,Sarah Shorter,Total,
Buchanan,14733,7411,,22144
Platte,22503,18356,,40859
Total,37236,25767,,63003
"State RepresentativeDistrict 1","RepublicanJeff Farnan","DemocraticJess Piper",Total
Atchison,1475,440,1915
Gentry,1800,536,2336
Holt,1398,267,1665
Nodaway,5089,1982,7071
Total,9762,3225,12987
"State RepresentativeDistrict 2","RepublicanMazzie Boyd","DemocraticLois Pontius",Total
Caldwell,2693,657,3350
Daviess,2154,528,2682
Grundy,2709,499,3208
Harrison,2352,372,2724
Worth,698,163,861
Total,10606,2219,12825
